,ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter,Area[%]
88,89,0.004,7417,8515,8.0,2.5887780078234232e-06
89,90,0.10400000000000001,7435,8524,60.0,6.730822820340901e-05
90,91,0.02,11323,8510,18.0,1.2943890039117117e-05
91,92,0.004,5275,8509,8.0,2.5887780078234232e-06
92,93,0.004,7420,8503,8.0,2.5887780078234232e-06
93,94,0.047,5273,8501,25.656854152679443,3.0418141591925226e-05
94,95,0.004,7420,8494,8.0,2.5887780078234232e-06
95,96,0.1,7410,8499,39.313708186149604,6.471945019558558e-05
96,97,0.02,5273,8494,18.0,1.2943890039117117e-05
97,98,0.004,11329,8488,8.0,2.5887780078234232e-06
98,99,0.004,11323,8485,8.0,2.5887780078234232e-06
99,100,0.004,11329,8482,8.0,2.5887780078234232e-06
100,101,0.004,7420,8479,8.0,2.5887780078234232e-06
101,102,0.02,7418,8470,18.0,1.2943890039117117e-05
102,103,0.5515,7429,8484,199.0121921300888,0.0003569277678286545
103,104,0.08,7419,8458,38.485280990600586,5.177556015646847e-05
104,105,16.592,5269,8822,1506.8183205127716,0.010738251176451559
105,106,0.004,7414,8410,8.0,2.5887780078234232e-06
106,107,0.5365,7426,8429,168.18376541137698,0.00034721985029931664
107,108,0.008,7418,8393,18.828427076339718,5.1775560156468464e-06
108,109,0.0815,7427,8394,41.899494647979736,5.274635190940225e-05
109,110,0.004,7420,8371,8.0,2.5887780078234232e-06
110,111,0.1905,7426,8373,88.87005710601807,0.00012329055262259053
111,112,0.004,11320,8347,8.0,2.5887780078234232e-06
112,113,0.042,7418,8345,34.828427076339715,2.7182169082145947e-05
113,114,0.047,7427,8336,25.656854152679443,3.0418141591925226e-05
114,115,0.004,7417,8326,8.0,2.5887780078234232e-06
115,116,0.0385,7427,8321,31.071067690849304,2.491698832530045e-05
116,117,0.179,7424,8301,75.79898929595947,0.00011584781585009819
117,118,0.1025,7418,8266,47.07106757164002,6.633743645047522e-05
118,119,0.004,7420,8251,8.0,2.5887780078234232e-06
119,120,0.032,7384,8182,24.0,2.0710224062587386e-05
120,121,0.004,7384,8152,8.0,2.5887780078234232e-06
121,122,0.0675,7400,8147,45.0710676908493,4.368562888202027e-05
122,123,0.004,7402,8134,8.0,2.5887780078234232e-06
123,124,1.6115,7425,8178,472.6934313774109,0.0010429539399018615
124,125,0.004,5266,8089,8.0,2.5887780078234232e-06
125,126,0.1715,7426,8074,67.5563485622406,0.00011099385708542928
126,127,0.1505,7426,8052,47.89949476718903,9.74027725443563e-05
127,128,0.0695,5265,8042,40.242640614509575,4.498001788593198e-05
128,129,35.2555,7401,8731,2967.0651320219044,0.022817165763704673
129,130,0.281,7394,7980,115.94112455844879,0.0001818616550495955
130,131,0.047,7397,7961,25.656854152679443,3.0418141591925226e-05
131,132,0.008,7397,7952,18.828427076339718,5.1775560156468464e-06
132,133,0.044000000000000004,7390,7943,30.0,2.8476558086057656e-05
133,134,0.08199999999999999,7397,7938,39.313708186149604,5.306994916038017e-05
